Nama            ,Jenis Kelamin ,Umur  ,Warna   ,Lokasi       ,Status Vaksinasi ,Cluster
Mimi            ,Betina        ,Baby  ,Orange  ,Jakarta      ,Sudah            ,     32
Rere            ,Betina        ,Baby  ,Coklat  ,Jakarta      ,Sudah            ,      7
Ucil            ,Betina        ,Baby  ,Putih   ,Jakarta      ,Sudah            ,     24
Chandra         ,Betina        ,Adult ,Putih   ,Jakarta      ,Sudah            ,      5
Odin            ,Betina        ,Baby  ,Orange  ,Jakarta      ,Sudah            ,     32
Bumi            ,Betina        ,Young ,Putih   ,Jakarta      ,Sudah            ,      1
Venus           ,Betina        ,Baby  ,Putih   ,Jakarta      ,Sudah            ,     24
Mars            ,Betina        ,Baby  ,Putih   ,Jakarta      ,Sudah            ,     24
Bulan           ,Betina        ,Baby  ,Putih   ,Jakarta      ,Sudah            ,     24
Embul           ,Betina        ,Baby  ,Hitam   ,Jakarta      ,Sudah            ,     28
Beam            ,Betina        ,Adult ,Coklat  ,Jakarta      ,Sudah            ,     13
Pangpong        ,Betina        ,Baby  ,Coklat  ,Jakarta      ,Sudah            ,      7
Cope            ,Betina        ,Adult ,Putih   ,Jakarta      ,Sudah            ,      5
Cipul           ,Jantan        ,Young ,Orange  ,Jakarta      ,Sudah            ,      0
Dwi             ,Betina        ,Young ,Putih   ,Jakarta      ,Sudah            ,      1
Titi            ,Betina        ,Adult ,Putih   ,Jakarta      ,Sudah            ,      5
Dodo            ,Betina        ,Baby  ,Hitam   ,Jakarta      ,Sudah            ,     28
Yati            ,Betina        ,Adult ,Putih   ,Jakarta      ,Sudah            ,      5
Iming           ,Betina        ,Adult ,Putih   ,Jakarta      ,Sudah            ,      5
Nginden         ,Betina        ,Adult ,Orange  ,Jakarta      ,Sudah            ,     10
Bubub           ,Jantan        ,Adult ,Putih   ,Jakarta      ,Sudah            ,      6
Desi            ,Betina        ,Adult ,Putih   ,Jakarta      ,Sudah            ,      5
Duren           ,Betina        ,Adult ,Orange  ,Jakarta      ,Sudah            ,     10
Bejo            ,Jantan        ,Adult ,Hitam   ,Jakarta      ,Sudah            ,     21
Maisy           ,Betina        ,Adult ,Abu-Abu ,Jakarta      ,Sudah            ,     25
Snow            ,Betina        ,Young ,Putih   ,Jakarta      ,Sudah            ,      1
Keddy           ,Jantan        ,Young ,Abu-Abu ,Kota Lainnya ,Belum            ,      4
